,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
64,Chibuto,0,MZ,1567108290,72,-24.69,33.53,64.39,5.1
65,Nishihara,1,JP,1567108291,88,35.74,139.53,84.0,2.8
66,Pevek,100,RU,1567108292,98,69.7,170.27,40.09,7.05
67,Soyo,0,AO,1567108294,85,-6.13,12.37,73.03,10.4
68,East London,20,ZA,1567108296,62,-33.02,27.91,57.2,8.05
69,Esperance,40,AU,1567108297,63,-33.86,121.89,64.4,14.99
70,Sorland,75,NO,1567108299,93,67.67,12.69,59.0,16.11
71,Gasa,100,BT,1567108300,82,27.91,89.73,39.37,2.64
72,Goderich,10,CA,1567108302,59,43.74,-81.71,78.01,3.0
73,Lata,0,IN,1567108303,84,30.78,78.62,40.63,0.16
74,Zhigansk,94,RU,1567108304,67,66.77,123.37,48.73,1.21
75,Gilbues,85,BR,1567108305,26,-9.83,-45.34,84.37,5.32
76,Kijang,40,KR,1567108029,93,35.24,129.21,66.2,3.36
77,Hithadhoo,99,MV,1567108308,64,-0.6,73.08,82.39,8.88
78,Punta Arenas,75,CL,1567108309,70,-53.16,-70.91,42.8,31.09
79,Lebu,75,ET,1567108310,93,8.96,38.73,59.0,4.7
80,Hearst,100,CA,1567108311,95,49.69,-83.67,54.67,9.93
81,Santa Vitoria do Palmar,90,BR,1567108313,82,-33.52,-53.37,67.09,4.76
82,Lumeje,0,AO,1567108314,49,-11.56,20.78,69.25,3.49
83,Fayaoue,100,NC,1567108315,71,-20.65,166.53,70.69,11.54
84,Candido Mendes,21,BR,1567108316,86,-1.45,-45.72,77.35,4.9
85,Oktyabrskiy,0,RU,1567108318,63,55.61,37.97,63.0,4.47
86,Khani,40,GE,1567108319,94,41.96,42.96,75.2,2.24
87,Xining,100,CN,1567108320,95,36.62,101.77,47.65,2.51
88,Rabo de Peixe,40,PT,1567108321,88,37.8,-25.58,73.4,8.05
89,Vao,84,EE,1567108323,81,59.1,26.19,64.57,9.06
90,Mar del Plata,94,AR,1567108133,30,-46.43,-67.52,47.65,20.31
91,Waalre,0,NL,1567108325,77,51.39,5.45,66.99,2.24
92,Ancud,75,CL,1567108326,87,-41.87,-73.83,46.4,9.17
93,Alofi,100,NU,1567108117,78,-19.06,-169.92,71.6,6.93
94,Kodiak,1,US,1567108329,59,39.95,-94.76,91.0,10.29
95,Tura,99,RU,1567108330,75,64.27,100.22,46.75,4.07
96,Huilong,26,CN,1567108331,82,31.15,106.5,69.79,2.62
97,Cap-aux-Meules,90,CA,1567108332,77,47.38,-61.86,66.2,18.34
98,Nikolskoye,0,RU,1567108333,72,59.7,30.79,61.0,4.47
99,Muros,20,ES,1567108335,82,42.77,-9.06,68.0,4.7
100,Kununurra,76,AU,1567108336,57,-15.77,128.74,51.8,13.02
101,San Quintin,99,PH,1567108337,92,17.54,120.52,74.83,3.51
102,Koslan,20,RU,1567108338,89,63.46,48.9,36.49,3.85
103,Qaanaaq,100,GL,1567108340,84,77.48,-69.36,39.91,14.67
104,Paamiut,0,GL,1567108341,63,61.99,-49.67,46.93,20.74
105,Yumen,15,CN,1567108342,21,40.29,97.04,68.89,10.92
106,Vaini,16,IN,1567108343,92,15.34,74.49,75.55,4.59
107,Adrar,40,DZ,1567108345,12,27.87,-0.29,105.8,17.22
108,Avarua,1,CK,1567108346,68,-21.21,-159.78,71.6,8.05
109,Auki,31,NG,1567108347,76,12.18,6.51,76.63,6.15
110,Ponta do Sol,66,BR,1567108348,46,-20.63,-46.0,70.15,8.14
111,Tasiilaq,20,GL,1567108350,65,65.61,-37.64,46.4,9.17
112,Surt,0,LY,1567108351,76,31.21,16.59,81.13,15.7
113,Eyrarbakki,75,IS,1567108352,66,63.86,-21.15,51.8,8.05
114,Barrow,0,AR,1567108353,48,-38.31,-60.23,54.13,4.97
115,Mudanjiang,100,CN,1567108355,95,44.58,129.6,56.47,1.68
116,Coquimbo,0,CL,1567108356,72,-29.95,-71.34,60.8,14.99
117,Hasaki,75,JP,1567108357,88,35.73,140.83,77.0,3.36
118,Port Blair,100,IN,1567108359,81,11.67,92.75,82.03,22.26
119,Rizhao,0,CN,1567108360,73,35.43,119.46,60.07,2.66
120,Zenzeli,0,RU,1567108361,38,45.92,47.05,55.57,4.79
121,Cherskiy,100,RU,1567108362,93,68.75,161.3,35.95,12.03
122,Togur,50,RU,1567108364,88,58.36,82.83,46.93,10.85
123,Marystown,100,CA,1567108185,77,47.17,-55.16,60.43,5.37
124,Punta Alta,0,AR,1567108366,40,-27.46,-55.82,95.0,9.17
125,Uige,100,AO,1567108367,88,-7.61,15.06,69.97,0.74
126,Rocha,100,UY,1567108368,97,-34.48,-54.34,60.25,6.62
127,Buala,100,SB,1567108369,78,-8.15,159.59,80.41,4.74
128,Los Llanos de Aridane,75,ES,1567108371,78,28.66,-17.92,73.4,13.87
129,Sur,69,OM,1567108372,50,22.57,59.53,84.55,11.36
130,Tocopilla,0,CL,1567108373,87,-22.09,-70.2,57.91,12.1
131,Adre,100,TD,1567108374,85,13.47,22.2,68.17,8.05
132,Yulara,0,AU,1567108376,32,-25.24,130.99,39.2,3.36
133,Narsaq,20,GL,1567108377,35,60.91,-46.05,57.2,10.29
134,Micomeseng,84,GQ,1567108378,99,2.15,10.62,69.43,2.37
135,Fuerte,100,PH,1567108379,77,17.54,120.36,82.57,10.89
136,Yabelo,16,ET,1567108380,64,4.89,38.09,66.19,8.16
137,Dryden,90,CA,1567108255,51,49.79,-92.84,59.0,15.5
138,Faanui,3,PF,1567108383,73,-16.48,-151.75,78.61,8.05
139,Gorodishche,100,RU,1567108384,53,53.27,45.7,63.0,3.58
140,Patancheru,40,IN,1567108385,88,17.53,78.27,77.0,4.7
141,Ashland,75,US,1567108206,39,38.48,-82.64,84.99,8.05
142,Kaitangata,98,NZ,1567108388,60,-46.28,169.85,46.0,11.99
143,Enid,75,US,1567108389,49,36.4,-97.88,93.99,14.99
144,New Norfolk,40,AU,1567108390,86,-42.78,147.06,39.2,9.17
145,Suntar,0,RU,1567108391,92,62.16,117.65,48.73,1.23
146,Tacna,0,PE,1567108331,59,-18.01,-70.25,66.2,10.29
147,Queimadas,40,BR,1567108394,61,-7.36,-35.9,77.0,11.41
148,Tugulym,0,RU,1567108395,87,57.06,64.64,54.0,11.18
149,Shiyan,65,CN,1567108396,70,32.65,110.78,60.97,2.19
150,Dogondoutchi,0,NE,1567108398,51,13.64,4.03,87.61,6.26
151,La Palma,35,CO,1567108399,46,5.36,-74.39,88.33,5.12
152,Valparaiso,1,US,1567108214,48,41.47,-87.06,86.0,23.04
153,Lingao,14,CN,1567108401,82,19.91,109.69,82.03,21.7
154,Klaksvik,75,FO,1567108402,100,62.23,-6.59,51.8,17.22
155,Tromso,0,NO,1567108404,82,69.65,18.96,62.6,27.51
156,Sao Joao da Barra,0,BR,1567108405,60,-21.64,-41.05,75.2,13.87
157,Chipinge,0,ZW,1567108406,75,-20.19,32.62,63.13,8.32
158,Saint-Augustin,75,CA,1567108408,60,45.63,-73.98,77.0,8.05
159,Castelo Branco,0,PT,1567108409,20,39.82,-7.5,86.0,3.0
160,Te Anau,99,NZ,1567108410,92,-45.41,167.72,39.01,6.8
161,Yangambi,2,CD,1567108411,96,0.77,24.47,71.05,0.67
162,Turgenevo,100,RU,1567108412,93,54.84,46.32,46.75,7.09
163,Vestmannaeyjar,99,IS,1567108414,84,63.44,-20.27,50.71,5.5
164,Nemuro,97,JP,1567108415,91,43.32,145.57,59.71,10.09
165,Ahipara,22,NZ,1567108416,100,-35.17,173.16,43.0,9.84
166,Dikson,93,RU,1567108417,95,73.51,80.55,42.07,18.43
167,Georgetown,75,GY,1567108256,74,6.8,-58.16,86.0,11.41
168,Warwick,20,US,1567108420,45,41.7,-71.42,86.0,12.75
169,Ashqelon,20,IL,1567108421,74,31.67,34.57,82.4,4.7
170,Oktyabrskoye,0,RU,1567108422,87,56.73,85.44,55.0,2.24
171,Lagoa,0,PT,1567108424,42,37.14,-8.45,82.4,8.05
172,Taoudenni,63,ML,1567108425,21,22.68,-3.98,100.75,6.13
173,Hofn,90,IS,1567108426,87,64.25,-15.21,50.0,3.36
174,Aklavik,90,CA,1567108428,75,68.22,-135.01,42.8,4.7
175,Dauriya,65,RU,1567108429,62,49.93,116.85,57.01,2.82
176,Barabai,0,ID,1567108430,81,-2.59,115.38,68.17,1.5
177,Cheyenne,1,US,1567108210,31,41.14,-104.82,90.0,16.11
178,Chuy,96,UY,1567108433,81,-33.69,-53.46,64.03,7.58
179,Coahuayana,0,MX,1567108434,62,18.62,-100.35,87.97,2.44
180,Cape Town,75,ZA,1567108146,62,-33.93,18.42,55.4,2.24
181,Kutahya,0,TR,1567108436,68,39.42,29.98,68.0,11.41
182,Voznesenskoye,0,RU,1567108438,94,54.89,42.76,54.85,6.62
183,Arraial do Cabo,75,BR,1567108439,73,-22.97,-42.02,71.6,13.87
184,Kizukuri,100,JP,1567108440,93,40.81,140.39,70.0,7.81
185,Thunder Bay,75,CA,1567108441,82,48.41,-89.26,64.99,13.87
186,Biloela,0,AU,1567108443,70,-24.4,150.51,53.77,8.34
187,Hailey,75,US,1567108192,17,43.52,-114.32,84.0,10.6
188,Port Hawkesbury,75,CA,1567108445,68,45.62,-61.36,72.0,13.87
189,Broken Hill,0,AU,1567108446,65,-31.97,141.45,41.0,9.17
190,Manati,0,AL,1567108448,78,41.76,19.67,73.4,2.64
191,Awjilah,0,LY,1567108450,60,29.14,21.3,77.89,12.88
192,Virden,17,CA,1567108452,49,49.85,-100.93,64.75,17.0
193,Comodoro Rivadavia,75,AR,1567108453,24,-45.87,-67.48,55.4,20.8
194,Masunga,20,BW,1567108454,27,-20.62,27.45,77.0,9.17
195,Charters Towers,1,AU,1567108456,95,-20.07,146.27,60.61,4.36
196,Antofagasta,20,CL,1567108262,67,-23.65,-70.4,60.8,13.87
197,Yellowknife,75,CA,1567108458,66,62.45,-114.38,50.0,6.93
198,Verkhnyaya Inta,100,RU,1567108459,84,65.99,60.32,40.99,7.76
199,Saint-Pierre,0,FR,1567108460,72,48.95,4.24,71.6,5.82
200,Kargasok,84,RU,1567108462,87,59.06,80.87,45.49,7.27
201,Muhos,0,FI,1567108463,77,64.81,26.0,68.0,8.05
202,Pahrump,1,US,1567108250,21,36.21,-115.98,102.0,6.93
203,Eyl,100,SO,1567108466,73,7.98,49.82,74.11,23.38
204,Victoria,75,BN,1567108467,88,5.28,115.24,80.6,3.96
205,Oranjemund,0,ZA,1567108468,83,-28.55,16.43,54.85,15.59
206,Port Alfred,23,ZA,1567108469,69,-33.59,26.89,60.01,4.0
207,Sao Jose da Coroa Grande,4,BR,1567108471,88,-8.9,-35.15,68.53,3.56
208,Tuy Hoa,100,VN,1567108472,89,13.08,109.3,73.75,1.63
209,Terralba,40,IT,1567108473,74,39.72,8.64,79.0,4.7
210,Geraldton,90,CA,1567108474,93,49.72,-86.95,55.4,4.7
211,Kloulklubed,90,PW,1567108476,88,7.04,134.26,78.8,6.93
212,Benghazi,0,LY,1567108477,76,32.12,20.07,79.51,12.1
213,Mehamn,0,NO,1567108478,64,71.03,27.85,69.8,21.92
214,Port Lincoln,0,AU,1567108479,60,-34.72,135.86,53.41,21.7
215,Gat,40,SN,1567108480,88,14.69,-16.54,80.6,5.82
216,Christchurch,90,NZ,1567108249,100,-43.53,172.64,42.01,4.38
217,Puerto Ayora,20,EC,1567108483,61,-0.74,-90.35,80.6,19.46
218,Kahului,20,US,1567108484,62,20.89,-156.47,86.0,10.29
219,Khatanga,0,RU,1567108485,86,71.98,102.47,48.37,9.91
220,Bilma,0,NE,1567108486,17,18.69,12.92,96.61,8.41
221,Ballina,90,IE,1567108488,87,54.11,-9.15,61.0,13.87
222,Castro,75,CL,1567108489,87,-42.48,-73.76,46.4,9.17
223,Batemans Bay,2,AU,1567108490,67,-35.71,150.18,50.0,3.0
224,Isabela,100,PH,1567108491,81,10.2,122.99,79.51,1.52
225,Sapernoye,0,RU,1567108492,83,60.72,29.95,63.0,7.0
226,Halaszi,0,HU,1567108494,61,47.89,17.33,80.01,2.24
227,Batagay,100,RU,1567108495,68,67.65,134.64,35.77,1.14
228,Sibolga,100,ID,1567108496,79,1.74,98.78,80.59,6.15
229,Byron Bay,75,AU,1567108497,100,-28.65,153.62,57.99,3.36
230,Tevriz,89,RU,1567108498,65,57.51,72.4,55.03,14.38
231,Mangaratiba,0,BR,1567108500,44,-22.96,-44.04,80.6,16.11
232,Kamina,0,CD,1567108501,41,-8.74,25.0,74.11,2.84
233,Nisia Floresta,0,BR,1567108502,45,-6.09,-35.21,82.4,19.46
234,Raudeberg,75,NO,1567108503,67,61.99,5.14,59.0,14.99
235,Katsuura,75,JP,1567108505,94,33.93,134.5,77.0,5.82
236,Dudinka,75,RU,1567108506,87,69.41,86.18,50.0,8.95
237,Okha,100,RU,1567108507,94,53.59,142.95,52.33,12.06
238,Davila,100,PH,1567108508,75,18.47,120.58,82.39,12.59
239,Luderitz,0,NA,1567108510,66,-26.65,15.16,55.4,25.28
240,Padang,100,ID,1567108511,84,-0.92,100.36,80.77,13.98
241,Normandin,75,CA,1567108512,60,48.84,-72.53,69.8,11.41
242,Freetown,40,BS,1567108513,70,26.61,-78.36,87.8,5.82
243,Belaya Gora,38,RU,1567108515,58,68.54,146.19,37.03,3.98
244,Saskylakh,100,RU,1567108516,82,71.97,114.09,36.31,3.83
245,Barreirinha,56,BR,1567108517,36,-2.8,-57.07,93.73,2.66
246,Egvekinot,100,RU,1567108518,90,66.32,-179.17,46.39,2.59
247,Les Cayes,100,HT,1567108519,73,18.19,-73.75,83.65,8.86
248,Norman Wells,75,CA,1567108222,71,65.28,-126.83,50.0,6.93
249,Yurimaguas,20,PE,1567108522,310,-5.9,-76.1,48.2,3.36
250,Ekhabi,100,RU,1567108523,94,53.51,142.97,52.33,12.06
251,Kavaratti,100,IN,1567108524,77,10.57,72.64,82.21,20.29
252,Babynino,66,RU,1567108525,100,54.39,35.75,50.0,4.61
253,Bredasdorp,7,ZA,1567108528,65,-34.53,20.04,46.4,5.82
254,Bilibino,100,RU,1567108529,96,68.06,166.44,36.67,3.91
255,Batagay-Alyta,55,RU,1567108530,71,67.8,130.41,33.43,0.58
256,Mahebourg,75,MU,1567108531,88,-20.41,57.7,73.0,9.17
257,Salalah,75,OM,1567108533,94,17.01,54.1,78.8,6.93
258,Kamiiso,100,JP,1567108534,93,41.82,140.65,60.97,1.83
259,Timra,90,SE,1567108535,100,62.49,17.33,64.99,6.93
260,San Patricio,0,PY,1567108537,54,-26.98,-56.83,80.77,3.53
261,Pervomaysk,98,RU,1567108538,96,54.87,43.81,52.51,5.57
262,Khasan,100,RU,1567108539,98,42.43,130.64,62.23,2.39
263,Guerrero Negro,28,MX,1567108540,80,27.97,-114.04,71.05,10.45
264,Quilali,20,NI,1567108541,51,13.57,-86.03,80.6,18.34
265,Jalingo,100,NG,1567108543,93,10.3,10.93,67.81,5.06
266,Tambun,20,ID,1567108544,69,-6.26,107.07,78.8,2.24
267,Acapulco,40,MX,1567108545,70,16.86,-99.88,87.8,10.29
268,Chokurdakh,100,RU,1567108546,81,70.62,147.9,35.77,7.0
269,Binga,2,ZW,1567108548,31,-17.62,27.34,71.95,3.11
270,Harnosand,90,SE,1567108549,100,62.63,17.94,64.99,6.93
271,Puerto Baquerizo Moreno,75,EC,1567108550,78,-0.9,-89.6,75.2,14.99
272,Palmares do Sul,29,BR,1567108551,51,-30.26,-50.51,89.01,1.01
273,La Romana,40,DO,1567108553,70,18.43,-68.97,89.6,6.93
274,Dingle,100,PH,1567108554,93,11.0,122.67,73.75,4.12
275,Tarko-Sale,97,RU,1567108555,85,64.92,77.78,44.01,15.64
276,Mosquera,40,CO,1567108556,37,4.71,-74.23,68.0,16.11
277,Paita,0,PE,1567108410,290,-5.09,-81.11,62.6,10.29
278,Porto San Giorgio,0,IT,1567108558,83,43.18,13.79,78.01,1.12
279,Minab,95,IR,1567108560,51,27.15,57.07,91.4,2.24
280,Makakilo City,1,US,1567108561,66,21.35,-158.09,86.0,9.17
281,Saldanha,0,PT,1567108562,38,41.42,-6.55,77.17,4.88
282,Moron,100,HT,1567108564,74,18.56,-74.26,83.65,11.21
283,Aden,0,YE,1567108565,53,12.79,45.03,88.15,8.66
284,Gravdal,75,NO,1567108566,77,59.79,5.78,60.8,16.11
285,Upernavik,12,GL,1567108567,78,72.79,-56.15,42.61,2.37
286,Sitka,0,US,1567108569,45,37.17,-99.65,95.0,8.01
287,Necochea,0,AR,1567108385,70,-38.55,-58.74,54.0,4.0
288,Leningradskiy,100,RU,1567108571,93,69.38,178.42,43.69,7.74
289,Suleja,40,NG,1567108572,88,9.18,7.18,73.4,2.37
290,Pingyin,0,CN,1567108574,65,36.28,116.45,62.95,1.25
291,Penzance,40,GB,1567108575,82,50.12,-5.53,61.0,9.17
292,Grindavik,75,IS,1567108576,81,63.84,-22.43,51.8,19.46
293,Hohhot,0,CN,1567108577,70,40.81,111.65,48.2,2.24
294,Tat,100,MM,1567108578,95,18.97,94.33,76.45,2.75
295,Derzhavinsk,100,KZ,1567108580,87,51.1,66.31,53.59,20.94
296,Belmonte,0,PT,1567108581,65,40.36,-7.35,86.0,1.99
297,Andilamena,52,MG,1567108582,94,-17.01,48.57,55.03,5.66
298,La Baule-Escoublac,0,FR,1567108583,68,47.28,-2.4,66.2,8.05
299,Nanortalik,0,GL,1567108585,81,60.14,-45.24,44.05,2.19
300,Nantucket,1,US,1567108395,78,41.28,-70.1,81.0,20.8
301,Puerto Leguizamo,2,CO,1567108587,70,-0.19,-74.78,83.65,3.47
302,Ahuimanu,40,US,1567108588,55,21.44,-157.84,86.0,4.7
303,Carnarvon,0,ZA,1567108589,16,-30.97,22.13,48.01,9.22
304,Yenotayevka,0,RU,1567108591,38,47.24,47.04,55.93,6.93
305,San Juan,0,AR,1567108566,34,-31.54,-68.53,57.73,8.14
306,Henties Bay,0,NA,1567108593,86,-22.12,14.28,55.0,8.01
307,Sucua,40,EC,1567108594,50,-2.46,-78.17,78.8,3.36
308,Lompoc,1,US,1567108595,50,34.64,-120.46,88.0,6.93
309,Petropavlovsk-Kamchatskiy,51,RU,1567108597,100,53.05,158.65,44.6,2.24
310,Mao,20,DO,1567108598,32,19.55,-71.08,96.8,10.29
311,Inirida,54,CO,1567108599,55,3.87,-67.92,88.33,0.09
312,Kruisfontein,95,ZA,1567108600,83,-34.0,24.73,46.75,8.79
313,Berlevag,0,NO,1567108602,64,70.86,29.09,69.8,25.28
314,Sao Gabriel da Cachoeira,20,BR,1567108603,88,-0.13,-67.09,78.8,5.82
315,Provideniya,90,RU,1567108604,81,64.42,-173.23,50.0,11.18
316,San Jeronimo,0,PE,1567108605,328,-13.65,-73.37,37.4,4.7
317,Vostok,100,RU,1567108606,98,46.45,135.83,56.29,4.16
318,Kaeo,0,NZ,1567108607,100,-35.1,173.78,44.01,2.59
319,San Policarpo,100,PH,1567108609,86,12.18,125.51,77.89,5.91
320,Souillac,0,FR,1567108610,53,45.6,-0.6,75.2,6.93
321,Bubaque,100,GW,1567108611,82,11.28,-15.83,80.59,20.71
322,Port Keats,72,AU,1567108612,23,-14.25,129.55,62.05,16.6
323,Touros,20,BR,1567108614,48,-5.2,-35.46,82.4,12.75
324,Aripuana,86,BR,1567108615,20,-9.17,-60.63,98.59,2.24
325,Strezhevoy,99,RU,1567108616,93,60.73,77.6,41.0,4.47
326,Yarkovo,0,RU,1567108617,82,54.81,82.6,60.8,6.71
327,Miyako,75,JP,1567108619,100,33.63,130.94,75.99,1.12
328,Robertsport,100,LR,1567108620,89,6.75,-11.37,75.91,8.41
329,Chum Phae,100,TH,1567108622,91,16.54,102.1,75.55,5.88
330,San Andres,100,PH,1567108623,83,13.32,122.68,78.79,10.65
331,Formosa,84,BR,1567108625,42,-15.55,-47.33,72.67,1.7
332,Kuytun,0,RU,1567108626,79,54.34,101.51,51.61,3.4
333,Port Said,0,EG,1567108628,21,25.34,30.55,86.35,7.52
334,Premia de Mar,92,ES,1567108629,65,41.49,2.37,81.0,3.36
335,Marsa Matruh,40,EG,1567108631,74,31.35,27.25,80.6,9.17
336,Coihaique,40,CL,1567108632,99,-45.58,-72.07,48.2,5.82
337,Dubti,1,ET,1567108633,23,11.74,41.09,94.81,4.52
338,Praia,0,BR,1567108634,31,-20.25,-43.81,77.0,8.05
339,Fortuna,75,US,1567108635,64,40.6,-124.16,75.0,6.93
340,Nabire,100,ID,1567108637,99,-3.36,135.5,66.73,4.05
341,Kawalu,88,ID,1567108638,91,-7.38,108.21,66.19,3.13
342,Terrace,75,CA,1567108465,55,54.52,-128.61,70.0,19.46
343,Linhares,32,BR,1567108640,76,-19.38,-40.06,67.63,6.91
344,Havoysund,0,NO,1567108642,68,71.0,24.66,69.8,21.92
345,Sao Filipe,33,CV,1567108643,79,14.9,-24.5,78.97,8.32
346,Akdepe,0,TM,1567108644,48,42.05,59.39,64.4,6.93
347,Jacareacanga,0,BR,1567108645,47,-6.22,-57.76,95.0,2.24
348,Kazachinskoye,86,RU,1567108647,82,57.69,93.28,49.63,5.1
349,Sabha,0,LY,1567108528,18,27.03,14.43,86.35,7.47
350,Thinadhoo,100,MV,1567108649,68,0.53,72.93,81.67,12.44
351,Galeana,81,MX,1567108650,73,24.83,-100.08,63.0,1.99
352,Marawi,95,PH,1567108651,91,8.0,124.29,75.0,8.01
353,Rundu,1,NA,1567108653,21,-17.91,19.77,78.8,5.82
354,Ugoofaaru,100,MV,1567108654,70,5.67,73.0,82.39,10.76
355,Walvis Bay,1,NA,1567108655,86,-22.95,14.51,55.0,8.01
356,Pacifica,1,US,1567108656,64,37.61,-122.49,78.01,6.93
357,Poya,100,NC,1567108657,75,-21.35,165.16,70.33,7.18
358,Port Hedland,0,AU,1567108659,82,-20.31,118.58,64.4,5.82
359,Fort Nelson,5,CA,1567108660,51,58.81,-122.69,62.6,4.7
360,Sambava,38,MG,1567108661,94,-14.27,50.17,64.75,2.8
361,Talnakh,75,RU,1567108662,87,69.49,88.39,50.0,8.95
362,Opuwo,41,NA,1567108664,52,-18.06,13.84,56.83,3.53
363,Verkhnevilyuysk,6,RU,1567108665,83,63.45,120.31,46.57,1.1
364,Namibe,98,AO,1567108667,85,-15.19,12.15,63.49,12.97
365,Cochrane,90,CL,1567108668,89,-47.25,-72.57,31.45,5.55
366,Pangnirtung,90,CA,1567108669,33,66.15,-65.72,59.0,18.34
367,Lorengau,88,PG,1567108670,81,-2.02,147.27,80.59,10.36
368,Bodden Town,40,KY,1567108672,70,19.28,-81.25,89.6,10.29
369,Chifeng,0,CN,1567108673,74,42.27,118.96,54.13,10.6
370,Paris,0,FR,1567108673,52,48.86,2.35,68.0,4.7
371,Deputatskiy,99,RU,1567108675,83,69.3,139.9,26.77,4.16
372,Dordrecht,0,NL,1567108677,87,51.8,4.68,66.0,4.7
373,Sandwick,85,GB,1567108678,87,54.57,-2.89,63.0,14.99
